PMID,protein,form,drug,gene_KD,effect,sentence
41829957,AKT,phospho,,False,unknown,Western blot analysis showed no significant effect on calmodulin-dependent Protein Kinase Kinase 2 (CaMKK2) expression but did reveal a modest yet statistically significant elevation in phosphorylated calcium/calmodulin-dependent protein kinase IV (pCaMKIV) and phosphorylated AKT (pAKT) ( Figure 5 )
41829957,AKT,total,,False,unknown,"( A ) Representative Western blot images of CaMKK2, pCaMKIV, pAKT, and GAPDH expression in control and GABA-treated cells"
41829039,AKT,phospho,,False,unknown,"( A , B ) Western blot analysis of TLR2 and Rac1 ( A ), and PI3K, Akt, the phosphorylation of PI3K, Akt and P70S6K ( B ) in CMT-U27 cells"
41829039,AKT,phospho,,False,increase,"Consistent with these findings, WB analysis demonstrated that the Staphylococcus treatment significantly upregulated the expression of TLR2 and Rac1, as well as the phosphorylation levels of PI3K, Akt and P70S6K, indicating activation of the TLR2/PI3K/Akt signaling pathway in CMT-U27 cells"
41828681,AKT,phospho,,False,increase,"Western blot analysis of tumor tissues revealed that EV treatment increased AKT phosphorylation, while total AKT levels decreased ( Figure 7 C)"
41828681,AKT,phospho,,False,unknown,"Proteins for the following experiments from in vitro and in vivo studies were subsequently extracted, and the expression of caspase-3, cleaved caspase-3, beta-actin, Akt, phosphorylated Akt, BCL-2, CD31, VEGFA, and vimentin (all from Sigma-Aldrich) was analyzed using Western blotting"
41828369,AKT,phospho,,False,decrease,"Western blotting demonstrated decreased phosphorylation of PI3K, Akt, IKKβ, and NF-κB after RFG intervention"
41828369,AKT,phospho,,False,unknown,"The level of p-PI3K, PI3K, p-Akt, Akt, p-NF-κB, NF-κB, p-IKKβ, and IKKβ proteins in the colon was detected by Western blot, both in vivo ( A ) and in vitro ( B ) (## p < 0"
41822120,AKT,phospho,,False,unknown,Our investigation employed western blotting to quantify phosphorylation states PI3K-AKT pathway components
41816730,AKT,total,,False,decrease,Western blot showed that OAC reduced PTEN and AKT levels dose-dependently ( Figure 5A )
41816730,AKT,phospho,,False,unknown,"In PTEN-overexpressing cells, p-Akt and LC3 were measured by western blot to determine whether OAC induces autophagy through PTEN"
41816730,AKT,total,,False,unknown,Western blot-detected PTEN/AKT; B
41816730,AKT,phospho,,False,unknown,"Western blot analysis measured p-PTEN, p-Akt, and LC3-II; C"
41816429,AKT,total,,False,unknown,"The expression of the main proteins related to the PI3K/AKT/mTOR, STAT3, and ERK signaling pathways was analyzed by Western blotting to identify possible mechanisms"
41816429,AKT,phospho,,False,unknown,"(A) Protein expression levels of p-mTOR, p-PI3K, and p-AKT were assessed by Western blot"
41816429,AKT,phospho,,False,decrease,"Related proteins were detected by Western blotting, and the expression levels of p-PI3K, p-AKT, p-mTOR, p-STAT3, and p-ERK decreased after crizotinib administration"
41816429,AKT,phospho,,False,unknown,"(A) Protein expression levels of p-mTOR, p-PI3K, and p-AKT were assessed by Western blot"
41815287,AKT,total,,False,unknown,"Western blot analysis corroborated these findings and demonstrated the downregulation of AKT, STAT-5, and MCL-1, factors implicated in resistance to venetoclax-based regimens"
41815287,AKT,total,,False,decrease,"Using immunoblotting, it was observed that zotatifin decreased the expression of MCL-1 at 4 hours and that of AKT and STAT-5 at 24 hours, concomitant with BAK upregulation"
41815287,AKT,total,,False,unknown,"Furthermore, western blotting showed that the combination was effective in decreasing AKT, MCL-1, and BCL-XL in both MV4-11/Ven-R and MOLM-13/Ven-R cells with no changes in BCL-2 and BAX ( supplemental Figure 7 B)"
41815287,AKT,total,,False,unknown,"(E) Western blot for AKT, STAT-5, and MCL-1 following treatment of primary AML BM cells from patient 12 ( supplemental Table 1 ) after 24 hours"
41815287,AKT,total,,False,decrease,"We performed intracellular staining and western blotting to determine the protein levels of AKT, STAT-5, and MCL-1 in these primary cells and found that the combination led to the greatest decrease in these proteins when compared with the monotherapies ( Figure 4 C-E)"
41815164,AKT,phospho,,False,unknown,The protein levels of endothelial-to-mesenchymal transition (EndMT) markers and phosphorylated Akt in HUVECs was determined using western blotting
41815164,AKT,phospho,,False,unknown,"Total protein was extracted and target protein expression levels were analysed by Western blotting using the following primary antibodies: anti-CNN3 (1:500, OM273307 , Omnimabs), anti-vimentin (1:1,000, ab16700, Abcam), anti-vascular endothelial (VE)-cadherin (1:1,000, ab318152, Abcam), anti-Neuronal (N)-cadherin (1:1,000, ab207608, Abcam), anti-phosphorylated Akt (p-Akt, 1:2,000, #4060, Cell Signaling Technology, Danvers, MA, USA), anti-Akt (1:1,000, #9272, Cell Signaling Technology) and anti-glyceraldehyde-3-phosphate dehydrogenase (GAPDH, 1:2,000, ab181602, Abcam) as a loading control, following our established protocol ( 12 )"
41815164,AKT,phospho,,False,unknown,(A) Western blotting images of Akt and p-Akt level in MG-63 cells from each group; (B) relative expression of p-Akt level normalized to both Akt and GAPDH in MG-63 cells; (C) Western blotting images of Akt and p-Akt level in Saos-2 cells; (D) relative expression of p-Akt level normalized to both Akt and GAPDH in Saos-2 cells
